GeoUID_csd,Type_csd,Region Name_csd,Area (sq km)_csd,Population_csd,Dwellings_csd,Households_csd,CD_UID_csd,PR_UID_csd,CMA_UID_csd,total_occupied_private_dwellings_csd,single_detached_houses_csd,apartment_in_building_plus_5_csd,semi_detached_house_csd,row_house_csd,apartment_in_duplex_csd,apartment_in_building_less_5_csd,households_more_than_30_csd,median_shelter_costs_owned_csd,median_shelter_costs_rented_csd,single_detached_houses_pct_csd,semi_detached_house_pct_csd,row_house_pct_csd,apartment_in_duplex_pct_csd,apartment_in_building_less_5_pct_csd,apartment_in_building_plus_5_pct_csd,pop_density_csd
3518029,CSD,Uxbridge (TP),420.5191,21556,8310,8008,3518,35,35535,8010,6520,135,125,390,145,675,1570,1700,1290,0.8139825218476904,0.015605493133583021,0.04868913857677903,0.018102372034956304,0.08426966292134831,0.016853932584269662,51.26045404358565
3518039,CSD,Brock (TP),422.6386,12567,5297,4788,3518,35,,4785,4145,0,75,115,30,405,945,1410,1020,0.8662486938349008,0.01567398119122257,0.024033437826541274,0.006269592476489028,0.08463949843260188,0,29.734624333887155
3519028,CSD,Vaughan (CY),272.4441,323103,107159,103914,3519,35,35535,103915,64995,13750,7960,11410,3485,2265,28885,1980,2040,0.625463118895251,0.07660106818072462,0.1098012798922196,0.03353702545349565,0.021796660732329307,0.13231968435740749,1185.9423639564961
3519036,CSD,Markham (CY),210.9319,338503,114908,110867,3519,35,35535,110865,62270,17635,6985,15985,6075,1905,36120,1840,1940,0.5616741081495512,0.0630045550895233,0.14418436837595275,0.054796373968339876,0.0171830604789609,0.15906733414513147,1604.7975673665292
3519038,CSD,Richmond Hill (T),100.7897,202022,72017,69314,3519,35,35535,69315,39295,12960,2665,10505,2135,1695,25570,2020,1860,0.5669047103801486,0.03844766645026329,0.15155449758349562,0.030801413835389164,0.024453581475871025,0.18697251677126164,2004.3913217322802
3519044,CSD,Whitchurch-Stouffville (T),206.4178,49864,17154,16707,3519,35,35535,16705,12420,250,825,1805,445,940,4280,2100,1660,0.7434899730619575,0.04938641125411553,0.10805148159233763,0.02663873091888656,0.05627057767135588,0.014965579167913799,241.56831436048634
3519046,CSD,Aurora (T),50.0009,62057,22253,21506,3519,35,35535,21505,12980,1205,1490,3610,670,1535,6295,2100,1800,0.6035805626598465,0.0692862125087189,0.16786793768890956,0.031155545222041385,0.07137874912810974,0.056033480585910254,1241.117659882122
3519048,CSD,Newmarket (T),38.501,87942,31239,30301,3519,35,35535,30300,18115,1510,2250,3880,1995,2360,8000,2020,1510,0.5978547854785479,0.07425742574257425,0.12805280528052806,0.06584158415841584,0.07788778877887789,0.04983498349834983,2284.1484636762684
3519049,CSD,King (TP),332.1164,27333,9346,8969,3519,35,35535,8970,7820,270,145,370,100,255,2340,2180,1550,0.8717948717948718,0.016164994425863992,0.04124860646599777,0.011148272017837236,0.028428093645484948,0.030100334448160536,82.29945886442223
3519054,CSD,East Gwillimbury (T),244.9061,34637,11869,11449,3519,35,35535,11445,9295,5,400,1110,340,285,3055,2140,2160,0.8121450415028396,0.03494975972040192,0.09698558322411534,0.029707295762341632,0.02490170380078637,4.3687199650502403e-4,141.42971530721366
3519070,CSD,Georgina (T),287.69,47642,19368,17895,3519,35,35535,17895,14845,100,455,785,570,985,4185,1660,1430,0.8295613299804414,0.025426096675048897,0.04386700195585359,0.03185247275775356,0.05504330818664432,0.005588153115395362,165.60186311654905
3519076,CSD,Chippewas of Georgina Island First Nation (IRI),14.4724,231,550,112,3519,35,35535,115,100,0,0,5,0,0,NA,NA,NA,0.8695652173913043,0,0.043478260869565216,0,0,0,15.961416212929437
3520005,CSD,Toronto (C),631.0983,2794356,1253238,1160892,3520,35,35535,1160890,270490,542625,71955,62915,47810,162245,373965,1740,1500,0.23300226550319153,0.06198261678539741,0.05419548794459424,0.04118391923438052,0.13975915030709196,0.4674215472611531,4427.766641108049
3521005,CSD,Mississauga (CY),292.7442,717961,254089,244575,3521,35,35535,244575,90660,66830,26855,34455,7895,17545,68155,1800,1600,0.3706838393130941,0.10980271900235102,0.14087703158540324,0.03228048655831545,0.07173668608811203,0.2732495144638659,2452.519981608517
3521010,CSD,Brampton (CY),265.8874,656480,189086,182472,3521,35,35535,182475,96020,18585,24750,23055,11960,8045,56355,2300,1520,0.5262090697355802,0.13563501849568435,0.12634607480476778,0.06554322509932868,0.04408823126455679,0.10184956843403206,2469.01507931553
3521024,CSD,Caledon (T),688.8179,76581,24795,23699,3521,35,35535,23700,19120,255,1650,1825,335,480,5155,2040,1740,0.8067510548523207,0.06962025316455696,0.0770042194092827,0.014135021097046414,0.020253164556962026,0.010759493670886076,111.17742439620109
3522001,CSD,East Garafraxa (TP),166.5014,2794,944,903,3522,35,,905,895,0,0,0,5,0,130,1900,1140,0.988950276243094,0,0,0.0055248618784530384,0,0,16.78063968230898
